Year,"Beans, Dry",Cassava,Maize,Millet,"Rice, Paddy",Sorghum,Wheat
Y2000,770797,60273,1500000,93150,13882,122493,131834
Y2001,870357,78332,1640000,104292,13200,136078,129209
Y2002,928651,81967,1592315,118570,13000,144294,144794
Y2003,897032,53635,1670914,108258,10781,148985,151135
Y2004,787120,57916,1351327,113223,13223,123155,152826
Y2005,1034477,38218,1771123,92430,15940,122368,159477
Y2006,995391,68502,1888185,137711,23106,163865,150488
Y2007,846327,53610,1615304,128114,16457,155550,104176
Y2008,641936,54672,1700000,53155,16734,104041,130273
Y2009,960705,70425,1884368,104576,21829,173172,131594
Y2010,689377,61573,2008346,99124,20181,225782,160043
Y2011,1036738,60473,2131887,111271,28034,254125,131509
Y2012,1056046,73144,2159322,118289,29630,223799,148703
Y2013,1083604,65634,2123138,168291,31349,223659,162900
Y2014,1052408,63725,2116141,138829,28390,213520,147210
Y2015,1243882,50354,2098240,90263,29438,195507,120256
Y2016,1171710,46535,2337586,88368,29337,184654,153119
Y2017,1180784,68435,2092459,126979,27829,193564,146804
Y2018,1170173,61592,2141743,115806,25966,229883,133147