Year,Barley,Coconuts,"Coffee, Green",Cotton Lint,"Pyrethrum, Dried",Sisal,Sugar Cane,Sunflower Seed,"Tobacco, Unmanufactured"
Y2000,45111,63000,100700,6600,8000,16607,3941524,13000,17960
Y2001,112679,61220,51700,8000,8000,17144,3550792,14000,19500
Y2002,92926,60060,51900,6600,8000,23402,4501363,12000,20000
Y2003,26645,60000,55443,6600,8000,24447,4204055,12000,19375
Y2004,39188,62000,48431,6600,8000,25000,4660995,12000,22000
Y2005,41208,63000,45200,6600,8000,25800,4800820,12000,25000
Y2006,81085,61117,48300,7400,8000,26375,4932839,14000,17605
Y2007,45000,61874,53368,8250,300,24789,5204214,14000,11153
Y2008,44597,59697,42000,5000,776,22064,5112000,14000,8519
Y2009,42147,61198,54000,4900,754,19048,5610702,14000,10260
Y2010,64219,74613,42000,3900,462,23924,5709586,12000,14156
Y2011,65235,87497,36300,7200,518,27560,5307341,14000,15345
Y2012,72726,120068,49000,3800,420,27866,5823964,14000,11756
Y2013,57671,64079,39800,4193,399,25352,6673725,14000,10538
Y2014,65402,63958,49500,4388,358,23226,6409929,14000,10013
Y2015,51396,99341,42000,5122,279,21596,7164790,14000,9371
Y2016,63338,115228,46100,5147,239,23871,7094619,13764,9974
Y2017,77000,92313,38620,3860,166,24007,4751609,12439,9786
Y2018,78089,92560,41375,1929,212,23981,5262157,11584,9711